question,A,B,C,D,answer,subject,question_id
"What is the term for commentary on the Qur'an that is known as ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,world_religions_test,0
"Which tradition, besides Jainism, originated as a movement that renounced the world?",Buddhism,Hinduism,Judaism,Islam,A,world_religions_test,1
"What is considered by Europeans, as well as many Muslims, to be the emblem of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,world_religions_test,2
"Out of the following factors, which one is most likely to result in a high level of accuracy in forecasting data that is not included in the original sample?",A model that is based on financial theory,A model that contains many variables,A model whose dependent variable has recently exhibited a structural change,A model that is entirely statistical in nature with no room for judgmental modification of forecasts,A,econometrics_test,3
What conditions must be met in the VAR model of equation 16 in order to determine that there is bi-directional feedback?,The b and d coefficients significant and the a and c coefficients insignificant,The a and c coefficients significant and the b and d coefficients insignificant,The a and c coefficients significant,The b and d coefficients significant,D,econometrics_test,4
Which of the following encryption schemes is the most secure?,"The Caesar Cipher, a substitution cipher","DES (Data Encryption Standard), a symmetric-key algorithm","Enigma, a transposition cipher",One-time pad,D,college_computer_science_test,6
What phase of public relations audience research is connected with summative evaluation?,Implementation,Impact,Attitude change,Preparation,B,public_relations_test,7
What is the law that limits corporate communications for publicly traded companies during the registration of new securities?,Securities Act of 1933,Sarbanes-Oxley Act of 2002,Investment Advisers Act of 1940,Investment Company Act of 1934,A,public_relations_test,8
What category would a baby fall under if they were born with pulmonary hypoplasia due to oligohydramnios resulting from renal agenesis?,an association.,a dysplasia.,a sequence.,a syndrome.,C,medical_genetics_test,9
"What is the expected number of fragments that a restriction enzyme recognizing a specific 4-base sequence in DNA would cleave a double-stranded bacteriophage with a 5,000 bp genome size into, on average?",about 2,about 4,about 20,about 50,C,medical_genetics_test,10
Which writer's perspective on strategy emphasizes that a firm's profitability is determined by its market positioning?,Peter Drucker,Jay Barney,Michael Porter,Henry Mintzberg,C,management_test,11
What characteristics and perspectives define transformational leaders' thinking and outlook?,Strategic,Operational,Functional,Developmental,A,management_test,12
What is the value of a zero-coupon five-year bond with a face value of $100 and a yield of 4%?,$100,$85,$82,$75,C,professional_accounting_test,13
"If a spouse passed away on December 31 of year 1, and the couple had no dependents, what filing status should the surviving spouse use in year 2?",Single.,Married filing jointly.,Qualifying widow(er).,Head of household.,A,professional_accounting_test,14
What is the most significant characteristic in determining the classification of an enterprise fund from the statements below?,The predominant customer is the primary government.,The pricing policies of the activity establish fees and charges designed to recover its cost.,The activity is financed by debt that is secured partially by a pledge of the net revenues from fees and charges of the activity.,Laws or regulations require that the activity’s costs of providing services including capital costs be recovered with taxes or similar revenues.,B,professional_accounting_test,15
"If Company X offers three-fourths of a share for each share of Company Y, what would be the ratio of their market prices if X is priced at $45 per share and Y is priced at $30 per share?",0.667,1,1.125,1.5,C,professional_accounting_test,16
"Did a contract form under the Sales Article of the UCC when Jackson, a merchant, mailed Sands an offer to sell 500 electric fans at $10 per fan, which Sands received on day 3, followed by a revocation of the offer on day 4, which Sands received on day 6, and Sands mailed an acceptance on day 7, which Jackson received on day 9?",No contract was formed because the offer failed to state an expiration date.,No contract was formed because Sands received the revocation of the offer before Sands accepted the offer,A contract was formed on the day Jackson received Sands’ acceptance,A contract was formed on the day Sands mailed the acceptance to Jackson,D,professional_accounting_test,18
"Which of the following statements could be TRUE if f : (0, 1) → (0, 1]?
I. f is a bijection.
II. The range of f is closed and bounded.
III. f is continuous, bijective, and onto.",I only,II only,I and II only,I and III only,C,college_mathematics_test,19
What dimensions can the intersection of U and V have if they are both 3-dimensional subspaces of R^5?,0,1,0 or 1,"1, 2, or 3",D,college_mathematics_test,20
"Which of these two scenarios involves the main character engaging in behavior that is morally wrong according to average moral standards in the United States as of 2020, when considering the following actions: 1) Getting someone involved in a hedge fund for investment purposes or 2) Stopping to wait for a partner who is stroking a cat on the street?","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,moral_scenarios_test,21
"Which of these two scenarios involves the main character (who uses I/me/my) clearly breaking moral standards in the US as of 2020? Scenario 1 involves serving an omelet made of scrambled brains and bacon, while Scenario 2 involves tossing a hot coal to a friend.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,moral_scenarios_test,22
"In which of these scenarios does the main character, who uses first person pronouns, commit a clear moral wrong according to typical moral standards in the US as of 2020? Scenario 1 involves using furniture paint as face paint for a child's Halloween costume due to a lack of supplies, while Scenario 2 involves aiding someone academically by writing their paper.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,moral_scenarios_test,23
In which of these two scenarios does the main character (who uses I/me/my) commit a morally wrong act based on typical moral standards in the US as of 2020? Scenario 1 | I enrolled my son in online classes because the local public school was not up to par. Scenario 2 | I attempted to help a dementia patient at a nursing home.,"Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,moral_scenarios_test,24
"Which of these scenarios involves the main character (who uses I/me/my) committing a clear moral wrong, as judged by typical moral standards in the US as of 2020? Scenario 1: I wore a fake moustache to the costume party. Scenario 2: I watered my neighbor's lawn once a week because he paid me for the entire summer he was away.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,moral_scenarios_test,25
"In which of the two scenarios does the main character (who uses I/me/my) commit a clear moral wrongdoing, based on common moral standards in the US as of 2020? Scenario 1: I called in sick to work due to having a fever. Scenario 2: I wore a mask to the store to avoid being seen stealing items.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,moral_scenarios_test,26
"In which of these two scenarios does the protagonist, who uses first-person pronouns, behave clearly immorally according to typical moral standards in the US in 2020? Scenario 1 | I instructed my children to spend more time in the sun to induce skin cancer. Scenario 2 | I removed my pants while inside the bank.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",A,moral_scenarios_test,27
"In which of these two scenarios does the main character, who uses personal pronouns and possesses their mother turning up at the doctor's office five minutes before the appointment, commit an action that is clearly morally wrong based on common American moral standards in the year 2020? Scenario 1: I picked up my mom from the doctor's office early. Scenario 2: I observed a nurse taking medication from work and placing it in her bag.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,moral_scenarios_test,28
"In which of the two scenarios does the main character, who uses I/me/my, act in a way that clearly violates ordinary moral standards in the US in 2020? Scenario 1: I cut off the injured fox's paw to save its life. Scenario 2: I took my daughter to get her ears cut off last week.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,moral_scenarios_test,29
"In which of these two scenarios does the main character (who uses I/me/my) engage in behavior that clearly violates ordinary moral standards in the US as of 2020? Scenario 1: While my parents were in bed, I went to the doctor. Scenario 2: I create jewelry from trash and sell it to make a profit.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,moral_scenarios_test,30
"In which of these two scenarios does the main character (who uses I/me/my) clearly violate ordinary moral standards in the US as of 2020? Scenario 1: I ran around loudly at the park. Scenario 2: While visiting the Louvre, I admired many of the paintings.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,moral_scenarios_test,31
"Which of these two scenarios involves the main character (who uses I/me/my) doing something that ordinary moral standards in the US as of 2020 would consider clearly wrong? Scenario 1: I taught the child to cut his fingernails with clippers. Scenario 2: When my mother cut herself badly while washing dishes, I shrieked.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,moral_scenarios_test,32
"Which of the two scenarios involves the main character (using I/me/my) engaging in an action that goes against ordinary moral standards in the US as of 2020? Scenario 1 involves the main character admiring a butterfly's colors and then pulling off its wings, while Scenario 2 involves the main character surfing the web after finishing their homework.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,moral_scenarios_test,33
"In which of these scenarios does the protagonist commit a clear moral wrongdoing, based on typical moral standards in the US in 2020, according to the main character's actions (using I/me/my)?: Scenario 1 - purchasing dog food for a neighbor's dog, or Scenario 2 - consuming groceries after paying for them?","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,moral_scenarios_test,35
"Which scenario depicts the main character clearly violating normally accepted moral standards in the US as of 2020: Scenario 1 - smiling at a sleeping baby, or Scenario 2 - reading their sister's fashion magazine without permission?","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",D,moral_scenarios_test,36
"According to ordinary moral standards in the US as of 2020, which of these two scenarios depicts the main character (who uses I/me/my) doing something clearly morally wrong? Scenario 1, where I brought the food to the clearly starving dog? Or Scenario 2, where I surprised my wife with a punch to the gut?","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",C,moral_scenarios_test,37
"In which of these scenarios does the main character (who uses I/me/my) commit a clearly morally wrong act, based on common moral standards in the US in 2020? Scenario 1: I claimed my stomach was hurting to leave work early. Scenario 2: I locked my parents' gun safe while they were sleeping.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",B,moral_scenarios_test,38
What type of immunity is demonstrated when a patient bitten by a dog suspected of having rabies is treated with a serum containing rabies antibodies produced by a horse?,Passive,Active,Natural,Artificial,A,college_medicine_test,41
What will you observe happening to the North Star (Polaris) when you travel north from the United States into Canada?,Brighter,Dimmer,Higher in the sky,Lower in the sky,C,astronomy_test,45
What does bolometric luminosity refer to in the field of astronomy?,The luminosity integrated over vertically polarized wavelengths.,The luminosity integrated over horizontally wavelengths.,The luminosity integrated over visible wavelengths.,The luminosity integrated over all wavelengths.,D,astronomy_test,46
"Which list ranks the ingredients of the solar nebula based on their mass percentages, from highest to lowest?",hydrogen compounds (H2O CH4 NH3) light gases (H He) metals rocks,hydrogen compounds (H2O CH4 NH3) light gases (H He) rocks metals,light gases (H He) hydrogen compounds (H2O CH4 NH3) metals rocks,light gases (H He) hydrogen compounds (H2O CH4 NH3) rocks metals,D,astronomy_test,47
What led to the uncovering of the royal cemeteries of the Moche civilization?,Thieves raiding the tombs were caught by the police.,A forest fire burned away the dense vegetation that concealed the cemetery.,Archaeologists discovered an exact replica of the city in the map room.,A flock of sheep that had been living there fell into a tomb.,A,prehistory_test,48
How did the civilization in the Indus Valley change based on the examination of oxygen isotope ratios in gastropod shells from an ancient lake sediment?,It became increasingly complex due to increased rainfall and longer growing seasons.,It eventually collapsed due to climate change and drought.,It collapsed due to increased monsoons and a series of catastrophic floods.,It evolved into a series of city states along rivers and lake shores.,B,prehistory_test,50
What is the term for moving through trees by swinging from branch to branch?,bipedal locomotion.,brachiation.,quadrupedal locomotion.,a savanna niche.,B,prehistory_test,51
When did human groups start controlling their food sources by creating artificial conditions for their growth?,"within the past 6,000 years","within the past 12,000 years","within the past 18,000 years","within the past 28,000 years",B,prehistory_test,52
At what point in time did Aborigines inhabit the challenging interior region of Australia?,"10,000–12,000 years ago","20,000–25,000 years ago","35,000–40,000 years ago","40,000–45,000 years ago",B,prehistory_test,53
What is the purpose of the energy released by electrons as they pass through the electron transport chain?,break down glucose,make glucose,produce ATP,make NADH,C,high_school_biology_test,56
Who were the two scientists who led the way in developing the scientific field of island biogeography?,Robert MacArthur and E. O. Wilson,James Watson and Francis Crick,Matthias Schleiden and Theodor Schwann,Alfred Hershey and Martha Chase,A,high_school_biology_test,57
What is the likelihood of the fourth child being male if a couple has already had three sons and the woman is expecting their fourth child?,1/2,1/4,1/8,1/16,A,high_school_biology_test,58
In which phase of the cell cycle does the amount of DNA in a eukaryotic cell typically increase by double?,G_1,G_2,M,S,D,high_school_biology_test,59
"What is the term used to describe the strategies of negative advertising, stealing customers, and predatory pricing employed by businesses?",Reasonable competitive behaviour,Swindles,Competitive tricks,Dirty tricks,D,business_ethics_test,60
What characteristics are typically associated with date rape?,use of excessive force,premeditated,sexually motivated,involves use of a weapon,C,human_sexuality_test,62
"According to Roman Catholicism, is it sinful to",engage in homosexual acts,engage in heterosexual acts outside of marriage,take the birth control pill,all of the above,D,human_sexuality_test,63
At what stage of sexual response do erections in males and vaginal lubrication in females occur?,excitement,resolution,plateau,orgasm,A,human_sexuality_test,64
What is the generator of the finite field Z_7?,1,2,3,4,C,abstract_algebra_test,65
"What is the identity element in the group G = {2, 4, 6, 8} with multiplication modulo 10?",6,8,4,2,A,abstract_algebra_test,66
What program would benefit the most from using a heuristic?,A program that calculates a student's grade based on the student's quiz and homework scores,A program that encrypts a folder of digital files,A program that finds the shortest driving route between two locations on a map,A program that sorts a list of numbers in order from least to greatest,C,high_school_computer_science_test,67
What advantage do online newspapers have over social media sites in distributing information on the Internet?,The ability to distribute information instantaneously,The ability to provide credibility to the information distributed,The ability to provide information that is widely accessible,The ability to provide media-rich content for low cost,B,high_school_computer_science_test,68
Which traditional bases of the Democratic Party are likely to be alienated when the party pursues liberal social policies?,People holding advanced academic degrees,Northeastern city dwellers,Southerners,Jewish Americans,C,high_school_government_and_politics_test,69
