question,A,B,C,D,answer,subject,question_id
"What is the ter}m for commentary on the Qur'an, which means ""unveiling""?",fiqh,dhikr,ijtihad,tafsir,D,world_religions_test,0
" In addition to Jainism, which other tradition began as a world-renouncing movem}ent?",Buddhism,Hinduism,Judaism,Islam,A,world_religions_test,1
"Wh{at is seen by Europeans, and many Muslims, as the symbol of Islam?",The Hijab,The Crescent,The Minaret,The Qur'an,B,world_religions_test,2
W#hich one of the following factors is likely to lead to a relatively high degree of out-of-sample forecast accuracy?,A model that is based on financial theory,A model that contains many variables,A model whose dependent variable has recently exhibited a structural change,A model that is entirely statistical in nature with no room for judgmental modification of forecasts,A,econometrics_test,3
Consider again the VAR model #of equation 16. Which of the following conditions must hold for it to be said that there is bi-directional feedback?,The b and d coefficients significant and the a and c coefficients insignificant,The a and c coefficients significant and the b and d coefficients insignificant,The a and c coefficients significant,The b and d coefficients significant,D,econometrics_test,4
Which of the following comes closest to being a perfectl\y secure encryption scheme?,"The Caesar Cipher, a substitution cipher","DES (Data Encryption Standard), a symmetric-key algorithm","Enigma, a transposition cipher",One-time pad,D,college_computer_science_test,6
Which phase of public relati*ons audience research is associated with summative evaluation?,Implementation,Impact,Attitude change,Preparation,B,public_relations_test,7
Which law restricts corporate communications for publicly traded companies before and during the period that new securities are being registere`d?,Securities Act of 1933,Sarbanes-Oxley Act of 2002,Investment Advisers Act of 1940,Investment Company Act of 1934,A,public_relations_test,8
A baby born with pulmonary hypoplasia secondary to oligohydramnios caused by renal agenesis would be classifi}ed as having:,an association.,a dysplasia.,a sequence.,a syndrome.,C,medical_genetics_test,9
"On average, how many fragments would a restriction enzyme which recognizes a specific 4 base sequence in DNA be expected to cleave a double-stranded bacteriopha}ge with a genome size of 5,000 bp into?",about 2,about 4,about 20,about 50,C,medical_genetics_test,10
Profitability stemming from h`ow well a firm positions itself in the market is a key feature of which writer's view on strategy?,Peter Drucker,Jay Barney,Michael Porter,Henry Mintzberg,C,management_test,11
H`ow can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,management_test,12
"What is the p`rice of a five-year bond (face value $100) that pays no coupons, if its yield is 4%?",$100,$85,$82,$75,C,professional_accounting_test,13
"A spouse died on Decemb`er 31, year 1. The couple had no dependents. What should be the filing status of the surviving spouse in year 2?",Single.,Married filing jointly.,Qualifying widow(er).,Head of household.,A,professional_accounting_test,14
